English,Arabic
system,النظام
data,بيانات
algorithm,خوارزمية
such,مثل
base,قاعدة
node,العقدة
model,نموذج
case,قضية
program,برنامج
information,معلومة
set,تعيين
code,الشفرة
function,وظيفة
process,معالجة
application,طلب
software,البرمجيات
class,صف دراسي
point,نقطة
type,يكتب
network,شبكة الاتصال
tree,شجرة
object,هدف
element,عنصر
input,الإدخال
operation,عملية
level,مستوى
memory,ذاكرة
table,الطاولة
order,ترتيب
file,ملف
variable,عامل
language,لغة
write,اكتب
list,قائمة
structure,بنية
compute,إحصاء - عد
sequence,تسلسل
computer,الحاسوب
bit,قليل
probability,احتمالا
machine,آلة
array,مجموعة مصفوفة
page,صفحة
error,خطأ
step,خطوة
search,بحث
most,عظم
path,طريق
graph,رسم بياني
web,الويب
length,الطول
several,العديد من
security,الأمان
proof,دليل - إثبات
access,التمكن من
obtain,الحصول على
matrix,مصفوفة
task,مهمة
image,صورة
form,شكل
return,إرجاع
interface,واجهه المستخدم
resource,مورد
address,تبوك
implementat,تنفيذ
loop,عقدة
first,أول
read,قرأ
location,موقعك
hardware,المعدات
behavior,سلوك
programming,برمجة
field,مجال
key,مفتاح
parameter,معامل
distributio,التوزيع
definition,تعريف
instance,نموذج
interaction,التفاعل
internet,إنترنت
representat,تمثيل
edge,حافة
stack,كومة
return,إرجاع
procedure,إجراء
link,حلقة الوصل
output,انتاج
block,الكتلة
domain,نطاق
store,متجر
call,مكالمة
device,جهاز
server,الخادم
static,ثابتة
dataset,مجموعة البيانات
detection,كشف
write,اكتب
execute,نفذ - اعدم
least,الأقل
key,مفتاح
range,نطاق
pattern,نمط
vector,المتجه
binary,الثنائية
constraint,قيد
message,رسالة
environment,بيئة
tool,أداة
query,استفسار
phase,مرحلة
cluster,تَجَمَّع
architectur,المهندس المعماري
root,جذر
character,حرف
processor,المعالج
due,بسبب
computation,حساب
standard,اساسي
expression,التعبير
cell,زنزانة
client,عميل
constant,مستمر
address,تبوك
database,قاعدة البيانات
access,التمكن من
argument,جدال
online,عبر الانترنت
dynamic,متحرك
simulation,محاكاة
construct,بناء
degree,الدرجة العلمية
log,سجل
layer,طبقة
linear,خطي
select,تحديد
choice,خيار
optimal,أفضل
index,فهرس
complexity,تعقيد
signal,الإشارة
analyzeyses,تحليلات
execution,إعدام
specify,حدد
correspondi,تتوافق
display,عرض
document,وثيقة
model,نموذج
handle,يتعامل
mode,الوضع
frame,الإطار
check,التحقق من
mean,يعني
equation,معادلة
scheme,مخطط
theory,نظرية
knowledge,المعرفه
physical,بدني
cycle,دورة
accord,اتفاق
optimizatio,Optimizatio
logic,منطق
classificat,Classificat
cluster,تَجَمَّع
enable,يُمكَِن
request,طلب
denote,دل
accuracy,صحة
process,معالجة
sort,فرز
engineering,هندسة
operator,المشغل أو العامل
formula,معادلة
failure,خزي
measure,يقيس
interval,فترة
virtual,افتراضية
share,شارك
assign,تعيين
symbol,رمز
framework,نطاق
exception,استثناء
testing,اختبارات
organizatio,منظمة
update,تحديث
basic,أساسي
specificati,محدد
max,الأعلى
configurati,configurati
assumption,افتراض
evaluation,تقييم
processing,يتم المعالجة
notation,الرموز
storage,تخزين
protocol,بروتوكول
platform,برنامج
typically,عادة
subset,مجموعة فرعية
bound,مقيد
respectivel,احترام
traffic,حركة المرور
depth,عمق
